,Hppmass,Hppll,HppqaqW,HppllvW,Hppqaqqaq,Hppllvllv,Hppqaqllv,TotalBR
0,84.75723225474259,0.999999969,0.0,0.0,0.0,0.0,0.0,0.999999969
1,101.14129104085444,0.9999999960000001,0.0,0.0,0.0,0.0,0.0,0.9999999960000001
2,103.42939572129886,1.000000023,0.0,0.0,0.0,0.0,0.0,1.000000023
3,59.12613191162246,0.9999999719999999,0.0,0.0,0.0,0.0,0.0,0.9999999719999999
4,78.08847598503799,1.000000041,0.0,0.0,0.0,0.0,0.0,1.000000041
5,80.67382183914637,0.99999998,0.0,0.0,0.0,0.0,0.0,0.99999998
6,104.610442339093,0.999999878,0.0,0.0,0.0,0.0,0.0,0.999999878
7,110.55839592881027,0.33889646790000005,0.35490069999999996,0.21475058,0.07535588,0.01609643,0.0,1.0000000579000001
8,127.4206271263448,1.0000000420000001,0.0,0.0,0.0,0.0,0.0,1.0000000420000001
9,67.37950176909212,0.999999982,0.0,0.0,0.0,0.0,0.0,0.999999982
10,121.1672473525661,0.9999999329999999,0.0,0.0,0.0,0.0,0.0,0.9999999329999999
11,123.66601131671196,0.987578079,0.007565133,0.004856727,0.0,0.0,0.0,0.999999939
12,99.87840328740593,0.9995593569999999,0.0002755281,0.0001650979,0.0,0.0,0.0,0.9999999829999998
13,44.044464522134206,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
14,106.79818597966884,0.999999962,0.0,0.0,0.0,0.0,0.0,0.999999962
15,91.91311259920627,0.9999999499999999,0.0,0.0,0.0,0.0,0.0,0.9999999499999999
16,84.8411234882595,0.990460008,0.0,0.0,0.007849386,0.001690589,0.0,0.9999999829999999
17,40.697833083213155,1.000000026,0.0,0.0,0.0,0.0,0.0,1.000000026
18,124.18467567401107,1.6838721259999998e-05,0.6609425,0.3364272,0.002613407,0.0,0.0,0.9999999457212599
19,76.49747081690195,1.00000002,0.0,0.0,0.0,0.0,0.0,1.00000002
20,85.02621267941866,0.02727561805,0.015502845000000001,0.007526279,0.607807,0.02604700963,0.3158412,0.99999995168
21,129.8330043037006,0.9878849199999999,0.007374376,0.004740695,0.0,0.0,0.0,0.9999999909999999
22,81.65600466864844,1.000000011,0.0,0.0,0.0,0.0,0.0,1.000000011
23,99.11641383425516,1.00000001,0.0,0.0,0.0,0.0,0.0,1.00000001
24,82.60890116767395,0.9999999500000002,0.0,0.0,0.0,0.0,0.0,0.9999999500000002
25,108.53450818630688,0.9800097500000001,0.009585516,0.006119109,0.00353257,0.0007529905,0.0,0.9999999355000001
26,57.6236504017635,1.000000013,0.0,0.0,0.0,0.0,0.0,1.000000013
27,122.77495378804264,0.0701242537,0.53000743,0.32737507,0.05971225,0.01278103,0.0,1.0000000337
28,60.30163218225324,1.000000007,0.0,0.0,0.0,0.0,0.0,1.000000007
29,98.73658779485231,1.0000000629999999,0.0,0.0,0.0,0.0,0.0,1.0000000629999999
30,115.61531898198557,0.915045703,0.04507405,0.0291319,0.008845011,0.001903322,0.0,0.999999986
31,53.60491496118527,1.0000000210000002,0.0,0.0,0.0,0.0,0.0,1.0000000210000002
32,113.42980241465506,1.00000006,0.0,0.0,0.0,0.0,0.0,1.00000006
33,129.4107449048692,1.000000092,0.0,0.0,0.0,0.0,0.0,1.000000092
34,108.49567080260256,1.000000042,0.0,0.0,0.0,0.0,0.0,1.000000042
35,72.2650912984352,1.00000001,0.0,0.0,0.0,0.0,0.0,1.00000001
36,88.28844409659098,1.00000006,0.0,0.0,0.0,0.0,0.0,1.00000006
37,61.32202866889189,0.999999945,0.0,0.0,0.0,0.0,0.0,0.999999945
38,120.66542848336245,1.000000038,0.0,0.0,0.0,0.0,0.0,1.000000038
39,111.82183977398434,0.9994406789999999,0.0003396243,0.0002196099,0.0,0.0,0.0,0.9999999131999999
40,92.88235535075096,0.9999999479999999,0.0,0.0,0.0,0.0,0.0,0.9999999479999999
41,99.27176926403871,1.000000026,0.0,0.0,0.0,0.0,0.0,1.000000026
42,72.44673954079661,1.000000075,0.0,0.0,0.0,0.0,0.0,1.000000075
43,81.53899754038244,0.999999948,0.0,0.0,0.0,0.0,0.0,0.999999948
44,116.63036615275988,0.995720563,0.002611468,0.001667916,0.0,0.0,0.0,0.9999999470000001
45,95.04562445699987,0.989257722,0.003994845,0.001100302,0.004653176,0.0009939381,0.0,0.9999999831
46,126.55986547785572,0.999245114,0.0004546776,0.0003002453,0.0,0.0,0.0,1.0000000369
47,72.64600471832722,1.000000064,0.0,0.0,0.0,0.0,0.0,1.000000064
48,125.15534853047188,0.999999987,0.0,0.0,0.0,0.0,0.0,0.999999987
49,72.90918712061298,0.9999999989999999,0.0,0.0,0.0,0.0,0.0,0.9999999989999999
50,63.72928148128826,0.9999999119999999,0.0,0.0,0.0,0.0,0.0,0.9999999119999999
51,118.54818493583805,0.00493889341,0.6641111,0.3294781,0.001471816,0.0,0.0,0.9999999094099999
52,53.66223788722226,0.999999995,0.0,0.0,0.0,0.0,0.0,0.999999995
53,129.4264254857114,5.8137084699999993e-05,0.6607018,0.33592110000000003,0.003318944,0.0,0.0,0.9999999810847001
54,65.6375875323547,1.000000037,0.0,0.0,0.0,0.0,0.0,1.000000037
55,123.52190970333857,0.7285574289999999,0.15961102,0.095816684,0.01315704,0.002857825,0.0,0.9999999979999998
56,112.50994711068114,0.9998607999999999,0.0001391516,0.0,0.0,0.0,0.0,0.9999999515999999
57,73.67789257494611,0.9999999509999999,0.0,0.0,0.0,0.0,0.0,0.9999999509999999
