index,NDA,BR,ID1,ID2,ID3,ID4
3,2,0.3918171,-13,-13,0,0
3,2,0.3521246,-15,-13,0,0
3,2,0.2159075,-15,-15,0,0
3,2,0.03444542,-15,-11,0,0
3,2,0.003337208,-11,-11,0,0
3,2,0.002368144,-13,-11,0,0
4,2,0.3915768,-13,-13,0,0
4,2,0.3521691,-15,-13,0,0
4,2,0.2161024,-15,-15,0,0
4,2,0.03445009,-15,-11,0,0
4,2,0.003334987,-11,-11,0,0
4,2,0.002366664,-13,-11,0,0
7,2,0.1326466,-13,-13,0,0
7,2,0.1193618,-15,-13,0,0
7,2,0.07328024,-15,-15,0,0
7,2,0.01167631,-15,-11,0,0
7,2,0.001129792,-11,-11,0,0
7,2,0.0008017259,-13,-11,0,0
7,3,0.3124706,-3,4,24,0
7,3,0.1857596,-15,16,24,0
7,3,0.0424301,-1,2,24,0
7,3,0.01467425,-13,14,24,0
7,3,0.01431673,-11,12,24,0
7,4,0.07535588,-3,-3,4,4
7,4,0.01609643,-15,-15,16,16
12,2,0.3912696,-13,-13,0,0
12,2,0.3520455,-15,-13,0,0
12,2,0.2161095,-15,-15,0,0
12,2,0.0344374,-15,-11,0,0
12,2,0.003332522,-11,-11,0,0
12,2,0.002364835,-13,-11,0,0
12,3,0.0002755281,-3,4,24,0
12,3,0.0001650979,-15,16,24,0
16,2,0.3877963,-13,-13,0,0
16,2,0.3488223,-15,-13,0,0
16,2,0.2140724,-15,-15,0,0
16,2,0.03412239,-15,-11,0,0
16,2,0.003302876,-11,-11,0,0
16,2,0.002343742,-13,-11,0,0
16,4,0.007849386,-3,-3,4,4
16,4,0.001690589,-15,-15,16,16
17,2,0.392459,-13,-13,0,0
17,2,0.3519979,-15,-13,0,0
17,2,0.2153953,-15,-15,0,0
17,2,0.03443315,-15,-11,0,0
17,2,0.003342659,-11,-11,0,0
17,2,0.002372017,-13,-11,0,0
18,2,6.590236e-06,-13,-13,0,0
18,2,5.93075e-06,-15,-13,0,0
18,2,3.641621e-06,-15,-15,0,0
18,2,5.801525e-07,-15,-11,0,0
18,2,5.613032e-08,-11,-11,0,0
18,2,3.983144e-08,-13,-11,0,0
18,3,0.3446326,-3,4,24,0
18,3,0.3163099,-1,2,24,0
18,3,0.1215784,-15,16,24,0
18,3,0.1083304,-13,14,24,0
18,3,0.1065184,-11,12,24,0
18,4,0.002613407,-3,-3,4,4
20,2,0.01067875,-13,-13,0,0
20,2,0.009606089,-15,-13,0,0
20,2,0.005895603,-15,-15,0,0
20,2,0.0009396747,-15,-11,0,0
20,2,9.09571e-05,-11,-11,0,0
20,2,6.454425e-05,-13,-11,0,0
20,3,0.009518431,-1,2,24,0
20,3,0.005984414,-3,4,24,0
20,3,0.003134191,-13,14,24,0
20,3,0.003113314,-11,12,24,0
20,3,0.001278774,-15,16,24,0
20,4,0.4862214,-3,-1,2,4
20,4,0.3158412,-15,-1,2,16
20,4,0.1215856,-3,-3,4,4
20,4,0.02595265,-15,-15,16,16
20,4,9.435963e-05,-13,-13,14,14
26,2,0.3918402,-13,-13,0,0
26,2,0.3521278,-15,-13,0,0
26,2,0.2158814,-15,-15,0,0
26,2,0.03444479,-15,-11,0,0
26,2,0.003337485,-11,-11,0,0
26,2,0.002368338,-13,-11,0,0
27,2,0.02744514,-13,-13,0,0
27,2,0.0246984,-15,-13,0,0
27,2,0.01516505,-15,-15,0,0
27,2,0.002416038,-15,-11,0,0
27,2,0.0002337493,-11,-11,0,0
27,2,0.0001658764,-13,-11,0,0
27,3,0.4809693,-3,4,24,0
27,3,0.2930732,-15,16,24,0
27,3,0.04903813,-1,2,24,0
27,3,0.01779447,-13,14,24,0
27,3,0.0165074,-11,12,24,0
27,4,0.05971225,-3,-3,4,4
27,4,0.01278103,-15,-15,16,16
30,2,0.3581464,-13,-13,0,0
30,2,0.3222866,-15,-13,0,0
30,2,0.1978722,-15,-15,0,0
30,2,0.03152571,-15,-11,0,0
30,2,0.003050217,-11,-11,0,0
30,2,0.002164576,-13,-11,0,0
30,3,0.04507405,-3,4,24,0
30,3,0.0291319,-15,16,24,0
30,4,0.008845011,-3,-3,4,4
30,4,0.001903322,-15,-15,16,16
37,2,0.3917794,-13,-13,0,0
37,2,0.3521294,-15,-13,0,0
37,2,0.2159395,-15,-15,0,0
37,2,0.03444692,-15,-11,0,0
37,2,0.003336791,-11,-11,0,0
37,2,0.002367934,-13,-11,0,0
45,2,0.3872626,-13,-13,0,0
45,2,0.3484101,-15,-13,0,0
45,2,0.2138635,-15,-15,0,0
45,2,0.0340826,-15,-11,0,0
45,2,0.003298328,-11,-11,0,0
45,2,0.002340594,-13,-11,0,0
45,3,0.002495184,-3,4,24,0
45,3,0.001499661,-1,2,24,0
45,3,0.001100302,-15,16,24,0
45,4,0.004653176,-3,-3,4,4
45,4,0.0009939381,-15,-15,16,16
53,2,2.27526e-05,-13,-13,0,0
53,2,2.047688e-05,-15,-13,0,0
53,2,1.257322e-05,-15,-15,0,0
53,2,2.003081e-06,-15,-11,0,0
53,2,1.937883e-07,-11,-11,0,0
53,2,1.375154e-07,-13,-11,0,0
53,3,0.3468722,-3,4,24,0
53,3,0.3138296,-1,2,24,0
53,3,0.1262967,-15,16,24,0
53,3,0.1049427,-13,14,24,0
53,3,0.1046817,-11,12,24,0
53,4,0.003318944,-3,-3,4,4
55,2,0.2851456,-13,-13,0,0
55,2,0.2566029,-15,-13,0,0
55,2,0.1575551,-15,-15,0,0
55,2,0.02510188,-15,-11,0,0
55,2,0.002428574,-11,-11,0,0
55,2,0.001723375,-13,-11,0,0
55,3,0.1340633,-3,4,24,0
55,3,0.07877164,-15,16,24,0
55,3,0.02554772,-1,2,24,0
55,3,0.00859199,-13,14,24,0
55,3,0.008453054,-11,12,24,0
55,4,0.01315704,-3,-3,4,4
55,4,0.002857825,-15,-15,16,16
58,2,0.06345184,-13,-13,0,0
58,2,0.05710245,-15,-13,0,0
58,2,0.03506202,-15,-15,0,0
58,2,0.005585895,-15,-11,0,0
58,2,0.0005404284,-11,-11,0,0
58,2,0.00038349,-13,-11,0,0
58,3,0.5026464,-3,4,24,0
58,3,0.3226065,-15,16,24,0
58,3,0.006909107,-1,2,24,0
58,3,0.003391396,-13,14,24,0
58,3,0.002320476,-11,12,24,0
63,2,0.1095648,-13,-13,0,0
63,2,0.09860018,-15,-13,0,0
63,2,0.06053921,-15,-15,0,0
63,2,0.009645292,-15,-11,0,0
63,2,0.000933173,-11,-11,0,0
63,2,0.000662209,-13,-11,0,0
63,3,0.2759638,-3,4,24,0
63,3,0.1880767,-1,2,24,0
63,3,0.1193791,-15,16,24,0
63,3,0.06211713,-13,14,24,0
63,3,0.0614062,-11,12,24,0
63,4,0.0108062,-3,-3,4,4
63,4,0.002306056,-15,-15,16,16
65,2,0.3923138,-13,-13,0,0
65,2,0.3520318,-15,-13,0,0
65,2,0.2155068,-15,-15,0,0
65,2,0.03443523,-15,-11,0,0
65,2,0.003341307,-11,-11,0,0
65,2,0.002371055,-13,-11,0,0
68,2,0.3921724,-13,-13,0,0
68,2,0.352046,-15,-13,0,0
68,2,0.2156311,-15,-15,0,0
68,2,0.03444008,-15,-11,0,0
68,2,0.003340128,-11,-11,0,0
68,2,0.002370226,-13,-11,0,0
71,2,0.0257668,-13,-13,0,0
71,2,0.02318897,-15,-13,0,0
71,2,0.01423888,-15,-15,0,0
71,2,0.002268417,-15,-11,0,0
71,2,0.0002194622,-11,-11,0,0
71,2,0.000155732,-13,-11,0,0
71,3,0.4497667,-3,4,24,0
71,3,0.2539436,-15,16,24,0
71,3,0.1087769,-1,2,24,0
71,3,0.03706695,-13,14,24,0
71,3,0.03626436,-11,12,24,0
71,4,0.03982639,-3,-3,4,4
71,4,0.008516857,-15,-15,16,16
76,2,0.3795265,-13,-13,0,0
76,2,0.3414544,-15,-13,0,0
76,2,0.2095881,-15,-15,0,0
76,2,0.03340153,-15,-11,0,0
76,2,0.003232456,-11,-11,0,0
